domain,subdomain,selected_count,share_within_domain,share_total
Clinical Medicine,Anaesthesia: Preoperative Assessment And Monitoring In Anaesthesia,2,0.003,0.0004
Clinical Medicine,Medicine: Acute Coronary Syndrome,2,0.003,0.0004
Clinical Medicine,Medicine: Diabetes Mellitus,2,0.003,0.0004
Clinical Medicine,Medicine: Fluid And Electrolytes,2,0.003,0.0004
Clinical Medicine,Medicine: Haematology,2,0.003,0.0004
Clinical Medicine,Medicine: Immune System,2,0.003,0.0004
Clinical Medicine,Medicine: Miscellaneous,2,0.003,0.0004
Clinical Medicine,Medicine: Oncology,2,0.003,0.0004
Clinical Medicine,Microbiology: Bacteria,2,0.003,0.0004
Clinical Medicine,Microbiology: Misc.,2,0.003,0.0004
Clinical Medicine,Pathology: Iron Deficiency Anemia,2,0.003,0.0004
Clinical Medicine,"Physiology: Excretory System ( Kidney, Bladder) Acid Base Balance",2,0.003,0.0004
Clinical Medicine,Physiology: Neet Jan 2020,2,0.003,0.0004
Clinical Medicine,Physiology: Renal Physiology,2,0.003,0.0004
Clinical Medicine,Physiology: Respiratory System Pa 2,2,0.003,0.0004
Clinical Medicine,Social & Preventive Medicine: Environment And Health,2,0.003,0.0004
Clinical Medicine,Surgery: Trauma,2,0.003,0.0004
Clinical Medicine,Anaesthesia: All India Exam,1,0.0015,0.0002
Clinical Medicine,Anaesthesia: General Anaesthesia,1,0.0015,0.0002
Clinical Medicine,Anaesthesia: Intravenous Anesthetic Agents,1,0.0015,0.0002
Clinical Medicine,Anatomy,1,0.0015,0.0002
Clinical Medicine,Anatomy: G.I.T,1,0.0015,0.0002
Clinical Medicine,Anatomy: Respiratory System,1,0.0015,0.0002
Clinical Medicine,Biochemistry: Metabolism Of Nucleic Acids,1,0.0015,0.0002
Clinical Medicine,Biochemistry: Miscellaneous ( Bio Chemistry),1,0.0015,0.0002
Clinical Medicine,Biochemistry: Nucleotides,1,0.0015,0.0002
Clinical Medicine,Dental: Skin Lesions And Disorders Of Pigmentation,1,0.0015,0.0002
Clinical Medicine,Forensic Medicine,1,0.0015,0.0002
Clinical Medicine,Forensic Medicine: All India Exam,1,0.0015,0.0002
Clinical Medicine,Forensic Medicine: Identification,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Abnormality Of Puerperium,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Aiims 2019,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Complication Of 3 Rd Stage Of Labour,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Disorders In Menstruation,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Fmge 2018,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Gynaecological Oncology,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Gynaecology,1,0.0015,0.0002
Clinical Medicine,"Gynaecology & Obstetrics: Medical, Surgical And Gynaecological Illness Complicating Pregnancy",1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Obstetrics,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Physiological Changes During Pregnancy,1,0.0015,0.0002
Clinical Medicine,Gynaecology & Obstetrics: Physiology & Histology,1,0.0015,0.0002
Clinical Medicine,Medicine: Aiims 2019,1,0.0015,0.0002
Clinical Medicine,Medicine: Brain Hemorrhage,1,0.0015,0.0002
Clinical Medicine,Medicine: Budd Chiari Syndrome & Pancreatitis,1,0.0015,0.0002
Clinical Medicine,Medicine: Copd And Asthma,1,0.0015,0.0002
Clinical Medicine,Medicine: Cvs,1,0.0015,0.0002
Clinical Medicine,Medicine: Disorders Of Ventilation,1,0.0015,0.0002
Clinical Medicine,Medicine: Electrolyte Imbalance,1,0.0015,0.0002
Clinical Medicine,Medicine: Fluids And Electrolyte Imbalance,1,0.0015,0.0002
Clinical Medicine,Medicine: G.I.T,1,0.0015,0.0002
Clinical Medicine,Medicine: Hepatitis,1,0.0015,0.0002
Clinical Medicine,Medicine: Infection,1,0.0015,0.0002
Clinical Medicine,Medicine: Jipmer 2018,1,0.0015,0.0002
Clinical Medicine,Medicine: Malabsorbtion Syndrome,1,0.0015,0.0002
Clinical Medicine,Medicine: Misc.,1,0.0015,0.0002
Clinical Medicine,Medicine: Rheumatic Hea Disease & Infective Endocarditis,1,0.0015,0.0002
Clinical Medicine,Medicine: Stroke And Tia,1,0.0015,0.0002
Clinical Medicine,Medicine: Systemic Lupus Erythematous,1,0.0015,0.0002
Clinical Medicine,Medicine: Thromboembolism And Fat Embolism Syndrome,1,0.0015,0.0002
Clinical Medicine,Medicine: Valvular Hea Diseases,1,0.0015,0.0002
Clinical Medicine,Microbiology: Bacteriology,1,0.0015,0.0002
Clinical Medicine,Microbiology: General Microbiology ( Sterilization And Bacterial Genetics),1,0.0015,0.0002
Clinical Medicine,Microbiology: Virology,1,0.0015,0.0002
Clinical Medicine,Ophthalmology,1,0.0015,0.0002
Clinical Medicine,Orthopaedics,1,0.0015,0.0002
Clinical Medicine,Orthopaedics: Lower Limb Traumatology,1,0.0015,0.0002
Clinical Medicine,Pathology: Acute Lymphoblastic Leukemia,1,0.0015,0.0002
Clinical Medicine,Pathology: All India Exam,1,0.0015,0.0002
Clinical Medicine,Pathology: Blood Vessels,1,0.0015,0.0002
Clinical Medicine,Pathology: Breast,1,0.0015,0.0002
Clinical Medicine,Pathology: Cellular Pathology,1,0.0015,0.0002
Clinical Medicine,Pathology: Chronic Myelogenous Leukemia,1,0.0015,0.0002
Clinical Medicine,Pathology: Environment & Nutritional Pathology,1,0.0015,0.0002
Clinical Medicine,Pathology: G.I.T.,1,0.0015,0.0002
Clinical Medicine,Pathology: General Pathology,1,0.0015,0.0002
Clinical Medicine,Pathology: Genetics,1,0.0015,0.0002
Clinical Medicine,Pathology: Hemolytic Anemias: Basic Concepts And Classification,1,0.0015,0.0002
Clinical Medicine,Pathology: Infectious Disease,1,0.0015,0.0002
Clinical Medicine,Pathology: Inflammation & Repair,1,0.0015,0.0002
Clinical Medicine,"Pathology: Intestinal Polyps, Colon & Anal Cancer",1,0.0015,0.0002
Clinical Medicine,Pathology: Misc. (R.B.C),1,0.0015,0.0002
Clinical Medicine,Pathology: Misc. (W.B.C),1,0.0015,0.0002
Clinical Medicine,Pathology: Musculoskeletal System,1,0.0015,0.0002
Clinical Medicine,Pathology: Neoplasia,1,0.0015,0.0002
Clinical Medicine,Pathology: Pancreas,1,0.0015,0.0002
Clinical Medicine,Pathology: Pulmonary Tuberculosis And Lung Abscess,1,0.0015,0.0002
Clinical Medicine,Pediatrics: All India Exam,1,0.0015,0.0002
Clinical Medicine,Pediatrics: Disorders Of Gastrointestinal System Including Diarrhea,1,0.0015,0.0002
Clinical Medicine,Pediatrics: Genetics And Genetic Disorders,1,0.0015,0.0002
Clinical Medicine,Pediatrics: Jipmer 2018,1,0.0015,0.0002
Clinical Medicine,Pediatrics: Kidney,1,0.0015,0.0002
Clinical Medicine,Pharmacology: All India Exam,1,0.0015,0.0002
Clinical Medicine,Pharmacology: Other Topics And Adverse Effects,1,0.0015,0.0002
Clinical Medicine,Pharmacology: Pharmacokinetics,1,0.0015,0.0002
Clinical Medicine,"Physiology: Heart, Circulation, And Blood",1,0.0015,0.0002
Clinical Medicine,Physiology: Respiratory System Pa 3,1,0.0015,0.0002
Clinical Medicine,Radiology,1,0.0015,0.0002
Clinical Medicine,Social & Preventive Medicine: Fmge 2018,1,0.0015,0.0002
Clinical Medicine,Social & Preventive Medicine: Health Care Of Community & International Health,1,0.0015,0.0002
Clinical Medicine,Social & Preventive Medicine: Respiratory Infections,1,0.0015,0.0002
Clinical Medicine,Surgery: Cardio Thoracic Surgery,1,0.0015,0.0002
Clinical Medicine,Surgery: Fluid & Electrolyte,1,0.0015,0.0002
Clinical Medicine,Surgery: Heart & Pericardium,1,0.0015,0.0002
Clinical Medicine,Surgery: Nervous System,1,0.0015,0.0002
Clinical Medicine,"Surgery: Robotics, Laparoscopy And Bariatric Surgery",1,0.0015,0.0002
Clinical Medicine,Surgery: Urology,1,0.0015,0.0002
Computer Science,Computer Network: Network Layer,56,0.1279,0.0099
Computer Science,Computer Network: Data Link Layer,44,0.1005,0.0077
Computer Science,Computer Network: Transport Layer,32,0.0731,0.0056
Computer Science,Computer Network: Application Layer,29,0.0662,0.0051
Computer Science,Computer Organization: Instruction System,28,0.0639,0.0049
Computer Science,Computer Organization: Storage System,25,0.0571,0.0044
Computer Science,Operating System: Processes and Threads,19,0.0434,0.0033
Computer Science,Computer Organization: Input/Output System,18,0.0411,0.0032
Computer Science,Computer Network: Overview and Architecture,17,0.0388,0.003
Computer Science,Computer Organization: Central Processing Unit,17,0.0388,0.003
Computer Science,Computer Organization: Data Representation and Operation,16,0.0365,0.0028
Computer Science,"Data Structure and Algorithm: Stack, Queue, and Array",14,0.032,0.0025
Computer Science,Computer Organization: Bus,12,0.0274,0.0021
Computer Science,Data Structure and Algorithm: Linear List,11,0.0251,0.0019
Computer Science,Operating System: Memory Management,11,0.0251,0.0019
Computer Science,Data Structure and Algorithm: Sorting,10,0.0228,0.0018
Computer Science,Operating System: Input/Output Management,10,0.0228,0.0018
Computer Science,Computer Network: Physical Layer,9,0.0205,0.0016
Computer Science,Computer Organization: Overview,9,0.0205,0.0016
Computer Science,Data Structure and Algorithm: Searching,9,0.0205,0.0016
Computer Science,Operating System: File Management,7,0.016,0.0012
Computer Science,Operating System: Overview,7,0.016,0.0012
Computer Science,Computer System Architecture,6,0.0137,0.0011
Computer Science,Data Structure and Algorithm: Tree,5,0.0114,0.0009
Computer Science,Data Structure and Algorithm: Graph,4,0.0091,0.0007
Computer Science,Data Structure and Algorithm: Overview,4,0.0091,0.0007
Computer Science,Artificial Intelligence,3,0.0068,0.0005
Computer Science,Data Structure and Algorithm: String,3,0.0068,0.0005
Computer Science,Fundamental Disciplines Of Computer Science And Technology,3,0.0068,0.0005
Earth Science,Ocean Physics,111,0.1975,0.0195
Earth Science,Atmosphere,39,0.0694,0.0069
Earth Science,Mineralogy And Petrology,37,0.0658,0.0065
Earth Science,Hydrosphere,36,0.0641,0.0063
Earth Science,River Hydrology And Estuarine Hydrology,34,0.0605,0.006
Earth Science,Hydrological Measurement,26,0.0463,0.0046
Earth Science,Physical Geography,25,0.0445,0.0044
Earth Science,Groundwater Hydrology,22,0.0391,0.0039
Earth Science,Seismology,22,0.0391,0.0039
Earth Science,Sedimentology,21,0.0374,0.0037
Earth Science,Tectonophysics,16,0.0285,0.0028
Earth Science,Lithosphere,15,0.0267,0.0026
Earth Science,Limnology,12,0.0214,0.0021
Earth Science,Quaternary Geology,10,0.0178,0.0018
Earth Science,Geomagnetism,9,0.016,0.0016
Earth Science,Ocean Chemistry,9,0.016,0.0016
Earth Science,Experimental Geophysics,8,0.0142,0.0014
Earth Science,Computational Geophysics,7,0.0125,0.0012
Earth Science,Hydrological Physics,7,0.0125,0.0012
Earth Science,Remote Sensing Oceanography,7,0.0125,0.0012
Earth Science,Stratigraphy,7,0.0125,0.0012
Earth Science,Geodynamics,6,0.0107,0.0011
Earth Science,Ocean Geology,6,0.0107,0.0011
Earth Science,Other Disciplines In Geography,6,0.0107,0.0011
Earth Science,Engineering Geology,5,0.0089,0.0009
Earth Science,Hydrogeology,5,0.0089,0.0009
Earth Science,Ecohydrology,4,0.0071,0.0007
Earth Science,Geomorphology,4,0.0071,0.0007
Earth Science,Geothermal Science,4,0.0071,0.0007
Earth Science,Urban Geography,4,0.0071,0.0007
Earth Science,Environmental Geology,3,0.0053,0.0005
Earth Science,Hydrological Engineering,3,0.0053,0.0005
Earth Science,Regional Hydrology,3,0.0053,0.0005
Earth Science,Remote Sensing Geology,3,0.0053,0.0005
Earth Science,Economic Geology,2,0.0036,0.0004
Earth Science,Environmental Oceanography,2,0.0036,0.0004
Earth Science,Exploration Geophysics,2,0.0036,0.0004
Earth Science,Ocean Biology,2,0.0036,0.0004
Earth Science,Geochemistry,1,0.0018,0.0002
Earth Science,Geodesy,1,0.0018,0.0002
Earth Science,Geoelectricity,1,0.0018,0.0002
Earth Science,Geography,1,0.0018,0.0002
Earth Science,Geology,1,0.0018,0.0002
Earth Science,Gravimetry,1,0.0018,0.0002
Earth Science,Hydrological Geography,1,0.0018,0.0002
Earth Science,Hydrological Modeling,1,0.0018,0.0002
Earth Science,Hydrology,1,0.0018,0.0002
Earth Science,Machine Learning And Data Science,1,0.0018,0.0002
Earth Science,Marine Science,1,0.0018,0.0002
Earth Science,Mathematics,1,0.0018,0.0002
Earth Science,Paleogeography,1,0.0018,0.0002
Earth Science,Polar Oceanography,1,0.0018,0.0002
Earth Science,Soil Science,1,0.0018,0.0002
Earth Science,Space Physics,1,0.0018,0.0002
Earth Science,Structural Geology,1,0.0018,0.0002
Earth Science,Volcanology,1,0.0018,0.0002
Genomics,Genome Protocol Qa,250,0.3771,0.044
Genomics,Gene Ontology,196,0.2956,0.0345
Genomics,Gene Location,53,0.0799,0.0093
Genomics,Tf Regulation,38,0.0573,0.0067
Genomics,Gene Disease Association,33,0.0498,0.0058
Genomics,Gene Name Extraction,25,0.0377,0.0044
Genomics,Gene Alias,23,0.0347,0.004
Genomics,Gene Snp Association,22,0.0332,0.0039
Genomics,Genetics And Bioinformatics,11,0.0166,0.0019
Genomics,Gene Name Conversion,10,0.0151,0.0018
Genomics,Protein Coding Genes,2,0.003,0.0004
Life Sciences,Biomedical Qa,276,0.4525,0.0486
Life Sciences,Biomedical Laboratory,118,0.1934,0.0208
Life Sciences,Aquatic Ecology And Limnological Ecology,59,0.0967,0.0104
Life Sciences,Ecosystem Ecology,22,0.0361,0.0039
Life Sciences,Bio Rxiv Qa,21,0.0344,0.0037
Life Sciences,Biosphere,20,0.0328,0.0035
Life Sciences,Biogeochemistry,13,0.0213,0.0023
Life Sciences,Gb1 Ftness Prediction,13,0.0213,0.0023
Life Sciences,Detailed Understanding,12,0.0197,0.0021
Life Sciences,Pub Med Qa,10,0.0164,0.0018
Life Sciences,Protocol Qa,8,0.0131,0.0014
Life Sciences,Proteotoxicity Prediction Mcq,6,0.0098,0.0011
Life Sciences,Biogeography,5,0.0082,0.0009
Life Sciences,Population Ecology,5,0.0082,0.0009
Life Sciences,Biophysics And Biochemistry,4,0.0066,0.0007
Life Sciences,Bioinspiredllm Qa,3,0.0049,0.0005
Life Sciences,Chem Rxiv Qa,3,0.0049,0.0005
Life Sciences,Landscape Ecology,3,0.0049,0.0005
Life Sciences,Community Ecology,2,0.0033,0.0004
Life Sciences,Molecular Biology And Biotechnology,2,0.0033,0.0004
Life Sciences,Cell Biology,1,0.0016,0.0002
Life Sciences,Immunology,1,0.0016,0.0002
Life Sciences,Laboratory Safety Test Mcq,1,0.0016,0.0002
Life Sciences,Neuroscience And Psychology,1,0.0016,0.0002
Life Sciences,Physiology And Integrative Biology,1,0.0016,0.0002
Materials Science,Eah And Fe Analysis,232,0.381,0.0408
Materials Science,Material Data Extraction,137,0.225,0.0241
Materials Science,Materials Science General,58,0.0952,0.0102
Materials Science,Safety Mcq,55,0.0903,0.0097
Materials Science,Material Detailed Understanding,43,0.0706,0.0076
Materials Science,Valence Electron Difference Calculation,31,0.0509,0.0055
Materials Science,Composite Materials,24,0.0394,0.0042
Materials Science,Material Literature Qa,11,0.0181,0.0019
Materials Science,Organic Polymer Materials,8,0.0131,0.0014
Materials Science,Material Synthesis And Processing,5,0.0082,0.0009
Materials Science,Material Surfaces And Interfaces,3,0.0049,0.0005
Materials Science,Material Testing And Analysis Technology,2,0.0033,0.0004
Physics,Physics Literature Qa,255,0.445,0.0449
Physics,Physics General,97,0.1693,0.0171
Physics,Physics Detailed Understanding,83,0.1449,0.0146
Physics,Security Mcq,55,0.096,0.0097
Physics,Electrodynamics,19,0.0332,0.0033
Physics,Classical Mechanics,16,0.0279,0.0028
Physics,General Physics Calculation,16,0.0279,0.0028
Physics,Quantum Mechanics,12,0.0209,0.0021
Physics,Laboratory Safety Test Mcq,6,0.0105,0.0011
Physics,Thermodynamics And Statistical Physics,6,0.0105,0.0011
Physics,Relativity,4,0.007,0.0007
Physics,Astrophysics,2,0.0035,0.0004
Physics,Fluid Mechanics,2,0.0035,0.0004
