domain,subdomain,count,datasets,forms,count_basis
Genomics,Gene Ontology,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Gene Snp Association,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Human Genome Dna Alignment,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Multi Species Dna Alignment,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Protein Coding Genes,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Tf Regulation,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Dna Sequence Extraction,101,GeneTuring:101,Open generation/extraction:101,unique_questions:101
Genomics,Amino Acid Translation,100,GeneTuring:100,Open generation/extraction:100,unique_questions:100
Genomics,Genetics And Bioinformatics,59,ATLAS:59,Open-ended:59,records:59
Clinical Medicine,Medical Exam Qa,12723,MedQA_USMLE:12723,MCQA:12723,records:12723
Clinical Medicine,Surgery,10702,MedMCQA:10702,MCQA:10702,records:10702
Clinical Medicine,Dental,10405,MedMCQA:10405,MCQA:10405,records:10405
Clinical Medicine,Medicine,9425,MedMCQA:9425,MCQA:9425,records:9425
Clinical Medicine,Pathology,8429,MedMCQA:8429,MCQA:8429,records:8429
Clinical Medicine,Pharmacology,7346,MedMCQA:7346,MCQA:7346,records:7346
Clinical Medicine,Social & Preventive Medicine,6220,MedMCQA:6220,MCQA:6220,records:6220
Clinical Medicine,Microbiology,5912,MedMCQA:5912,MCQA:5912,records:5912
Clinical Medicine,Gynaecology & Obstetrics,5871,MedMCQA:5871,MCQA:5871,records:5871
Clinical Medicine,Anatomy,5804,MedMCQA:5804,MCQA:5804,records:5804
Clinical Medicine,Physiology,4319,MedMCQA:4319,MCQA:4319,records:4319
Clinical Medicine,Pediatrics,4273,MedMCQA:4273,MCQA:4273,records:4273
Clinical Medicine,Ophthalmology,4138,MedMCQA:4138,MCQA:4138,records:4138
Clinical Medicine,Biochemistry,4108,MedMCQA:4108,MCQA:4108,records:4108
Clinical Medicine,Forensic Medicine,3655,MedMCQA:3655,MCQA:3655,records:3655
Clinical Medicine,Unknown,3418,MedMCQA:3418,MCQA:3418,records:3418
Clinical Medicine,Radiology,2837,MedMCQA:2837,MCQA:2837,records:2837
Clinical Medicine,Ent,2480,MedMCQA:2480,MCQA:2480,records:2480
Clinical Medicine,Clinical Specialist Qa,2450,MedXpertQA:2450,MCQA:2450,records:2450
Clinical Medicine,Psychiatry,2368,MedMCQA:2368,MCQA:2368,records:2368
Clinical Medicine,Anaesthesia,1695,MedMCQA:1695,MCQA:1695,records:1695
Clinical Medicine,Anatomy: General Anatomy,1691,MedMCQA:1691,MCQA:1691,records:1691
Clinical Medicine,Skin,1216,MedMCQA:1216,MCQA:1216,records:1216
Clinical Medicine,Biomedical Literature Qa,1000,PubMedQA:1000,MCQA:1000,records:1000
Clinical Medicine,Orthopaedics,902,MedMCQA:902,MCQA:902,records:902
Clinical Medicine,Pathology: General Pathology,874,MedMCQA:874,MCQA:874,records:874
Clinical Medicine,Social & Preventive Medicine: Communicable Diseases,841,MedMCQA:841,MCQA:841,records:841
Clinical Medicine,Microbiology: Virology,828,MedMCQA:828,MCQA:828,records:828
Clinical Medicine,Medicine: C.V.S,747,MedMCQA:747,MCQA:747,records:747
Clinical Medicine,Surgery: G.I.T,737,MedMCQA:737,MCQA:737,records:737
Clinical Medicine,Ent: Ear,722,MedMCQA:722,MCQA:722,records:722
Clinical Medicine,Physiology: Nervous System,721,MedMCQA:721,MCQA:721,records:721
Clinical Medicine,Medicine: Miscellaneous,717,MedMCQA:717,MCQA:717,records:717
Clinical Medicine,Medicine: Endocrinology,680,MedMCQA:680,MCQA:680,records:680
Clinical Medicine,Anatomy: G.I.T,676,MedMCQA:676,MCQA:676,records:676
Clinical Medicine,Microbiology: Immunology,609,MedMCQA:609,MCQA:609,records:609
Clinical Medicine,Social & Preventive Medicine: Epidemiology,608,MedMCQA:608,MCQA:608,records:608
Clinical Medicine,Microbiology: Bacteriology,550,MedMCQA:550,MCQA:550,records:550
Clinical Medicine,Pathology: All India Exam,544,MedMCQA:544,MCQA:544,records:544
Clinical Medicine,Microbiology: Bacteria,536,MedMCQA:536,MCQA:536,records:536
Clinical Medicine,Microbiology: Parasitology,514,MedMCQA:514,MCQA:514,records:514
Clinical Medicine,Pharmacology: All India Exam,506,MedMCQA:506,MCQA:506,records:506
Clinical Medicine,Anatomy: All India Exam,484,MedMCQA:484,MCQA:484,records:484
Clinical Medicine,Pharmacology: Chemotherapy,482,MedMCQA:482,MCQA:482,records:482
Clinical Medicine,Anatomy: Head And Neck,452,MedMCQA:452,MCQA:452,records:452
Clinical Medicine,Social & Preventive Medicine: Environment And Health,452,MedMCQA:452,MCQA:452,records:452
Clinical Medicine,Physiology: General Physiology,433,MedMCQA:433,MCQA:433,records:433
Clinical Medicine,Medicine: C.N.S,432,MedMCQA:432,MCQA:432,records:432
Clinical Medicine,Social & Preventive Medicine: Nutrition And Health,419,MedMCQA:419,MCQA:419,records:419
Clinical Medicine,Surgery: Urology,403,MedMCQA:403,MCQA:403,records:403
Clinical Medicine,Gynaecology & Obstetrics: General Obstetrics,398,MedMCQA:398,MCQA:398,records:398
Clinical Medicine,Pharmacology: Endocrinology,392,MedMCQA:392,MCQA:392,records:392
Clinical Medicine,Medicine: All India Exam,391,MedMCQA:391,MCQA:391,records:391
Clinical Medicine,Medicine: Infection,389,MedMCQA:389,MCQA:389,records:389
Clinical Medicine,Anatomy: Abdomen And Pelvis,388,MedMCQA:388,MCQA:388,records:388
Clinical Medicine,Pharmacology: Cardiovascular System,385,MedMCQA:385,MCQA:385,records:385
Clinical Medicine,Microbiology: Mycology,384,MedMCQA:384,MCQA:384,records:384
Clinical Medicine,Microbiology: All India Exam,370,MedMCQA:370,MCQA:370,records:370
Clinical Medicine,Physiology: Respiratory System,350,MedMCQA:350,MCQA:350,records:350
Clinical Medicine,Pediatrics: New Born Infants,345,MedMCQA:345,MCQA:345,records:345
Clinical Medicine,Pathology: Haematology,343,MedMCQA:343,MCQA:343,records:343
Clinical Medicine,Pharmacology: Central Nervous System,340,MedMCQA:340,MCQA:340,records:340
Clinical Medicine,Biochemistry: Metabolism Of Nucleic Acids,339,MedMCQA:339,MCQA:339,records:339
Clinical Medicine,Anatomy: Thorax,338,MedMCQA:338,MCQA:338,records:338
Clinical Medicine,Surgery: Trauma,336,MedMCQA:336,MCQA:336,records:336
Clinical Medicine,Gynaecology & Obstetrics: Miscellaneous ( Gynae),330,MedMCQA:330,MCQA:330,records:330
Clinical Medicine,Physiology: Cardiovascular System,330,MedMCQA:330,MCQA:330,records:330
Clinical Medicine,Physiology: Endocrinology,326,MedMCQA:326,MCQA:326,records:326
Clinical Medicine,Medicine: Kidney,319,MedMCQA:319,MCQA:319,records:319
Clinical Medicine,Physiology: All India Exam,313,MedMCQA:313,MCQA:313,records:313
Clinical Medicine,Unknown: Integrated Q Bank,311,MedMCQA:311,MCQA:311,records:311
Clinical Medicine,Surgery: General Surgery,302,MedMCQA:302,MCQA:302,records:302
Clinical Medicine,Biochemistry: Metabolism Of Carbohydrate,298,MedMCQA:298,MCQA:298,records:298
Clinical Medicine,Medicine: Respiratory System,297,MedMCQA:297,MCQA:297,records:297
Clinical Medicine,Microbiology: General Microbiology,297,MedMCQA:297,MCQA:297,records:297
Clinical Medicine,Anatomy: Upper Limb,292,MedMCQA:292,MCQA:292,records:292
Clinical Medicine,Medicine: C.N.S.,286,MedMCQA:286,MCQA:286,records:286
Clinical Medicine,Pharmacology: General Pharmacology,285,MedMCQA:285,MCQA:285,records:285
Clinical Medicine,Anatomy: Other Topics And Adverse Effects,284,MedMCQA:284,MCQA:284,records:284
Clinical Medicine,Ent: Nose And Paranasal Sinuses,282,MedMCQA:282,MCQA:282,records:282
Clinical Medicine,Surgery: Miscellaneous,282,MedMCQA:282,MCQA:282,records:282
Clinical Medicine,Pharmacology: Autonomic Nervous System,279,MedMCQA:279,MCQA:279,records:279
Clinical Medicine,Surgery: Endocrinology And Breast,279,MedMCQA:279,MCQA:279,records:279
Clinical Medicine,Medicine: C.V.S.,277,MedMCQA:277,MCQA:277,records:277
Clinical Medicine,Social & Preventive Medicine: Concept Of Health And Disease,275,MedMCQA:275,MCQA:275,records:275
Clinical Medicine,Social & Preventive Medicine: Biostatistics,268,MedMCQA:268,MCQA:268,records:268
Clinical Medicine,Medicine: G.I.T,266,MedMCQA:266,MCQA:266,records:266
Clinical Medicine,Pathology: Miscellaneous,262,MedMCQA:262,MCQA:262,records:262
Clinical Medicine,Biochemistry: Proteins And Amino Acids,250,MedMCQA:250,MCQA:250,records:250
Clinical Medicine,Pathology: Urinary Tract,243,MedMCQA:243,MCQA:243,records:243
Clinical Medicine,Ent: Larynx,238,MedMCQA:238,MCQA:238,records:238
Clinical Medicine,Psychiatry: Miscellaneous,237,MedMCQA:237,MCQA:237,records:237
Clinical Medicine,Biochemistry: Vitamins,235,MedMCQA:235,MCQA:235,records:235
Clinical Medicine,Pharmacology: Anti Microbial,233,MedMCQA:233,MCQA:233,records:233
Clinical Medicine,Anatomy: Abdomen & Pelvis,230,MedMCQA:230,MCQA:230,records:230
Clinical Medicine,Ophthalmology: Lens,220,MedMCQA:220,MCQA:220,records:220
Clinical Medicine,Pharmacology: C.N.S,216,MedMCQA:216,MCQA:216,records:216
Clinical Medicine,Anatomy: Upper Extremity,215,MedMCQA:215,MCQA:215,records:215
Clinical Medicine,Social & Preventive Medicine: Non Communicable Diseases,213,MedMCQA:213,MCQA:213,records:213
Clinical Medicine,Biochemistry: Enzymes,211,MedMCQA:211,MCQA:211,records:211
Clinical Medicine,Medicine: Haematology,211,MedMCQA:211,MCQA:211,records:211
Clinical Medicine,Physiology: G.I.T,207,MedMCQA:207,MCQA:207,records:207
Clinical Medicine,Anatomy: Head & Neck,201,MedMCQA:201,MCQA:201,records:201
Clinical Medicine,Biochemistry: Metabolism Of Lipid,198,MedMCQA:198,MCQA:198,records:198
Clinical Medicine,Pharmacology: Hematology,195,MedMCQA:195,MCQA:195,records:195
Clinical Medicine,Biochemistry: Structure And Function Of Protein,192,MedMCQA:192,MCQA:192,records:192
Clinical Medicine,Anatomy: Lower Limb,191,MedMCQA:191,MCQA:191,records:191
Clinical Medicine,Surgery: Breast,191,MedMCQA:191,MCQA:191,records:191
Clinical Medicine,Biochemistry: Respiratory Chain,189,MedMCQA:189,MCQA:189,records:189
Clinical Medicine,"Physiology: Heart, Circulation, And Blood",189,MedMCQA:189,MCQA:189,records:189
Clinical Medicine,Forensic Medicine: Poisoning,188,MedMCQA:188,MCQA:188,records:188
Clinical Medicine,Gynaecology & Obstetrics: All India Exam,186,MedMCQA:186,MCQA:186,records:186
Clinical Medicine,Pharmacology: Other Topics And Adverse Effects,186,MedMCQA:186,MCQA:186,records:186
Clinical Medicine,Pathology: Blood,185,MedMCQA:185,MCQA:185,records:185
Clinical Medicine,Medicine: Respiratory,180,MedMCQA:180,MCQA:180,records:180
Clinical Medicine,Medicine: Immune System,176,MedMCQA:176,MCQA:176,records:176
Clinical Medicine,Pediatrics: Growth And Development,176,MedMCQA:176,MCQA:176,records:176
Clinical Medicine,Pathology: G.I.T,175,MedMCQA:175,MCQA:175,records:175
Clinical Medicine,Surgery: Small & Large Intestine,175,MedMCQA:175,MCQA:175,records:175
Clinical Medicine,Biochemistry: Carbohydrates,173,MedMCQA:173,MCQA:173,records:173
Clinical Medicine,Ophthalmology: Glaucoma,173,MedMCQA:173,MCQA:173,records:173
Clinical Medicine,Microbiology: General,170,MedMCQA:170,MCQA:170,records:170
Clinical Medicine,Pediatrics: Nutrition,170,MedMCQA:170,MCQA:170,records:170
Clinical Medicine,Pharmacology: C.V.S,169,MedMCQA:169,MCQA:169,records:169
Clinical Medicine,Biochemistry: Vitamins And Minerals,168,MedMCQA:168,MCQA:168,records:168
Clinical Medicine,Social & Preventive Medicine: Demography And Family Planning,168,MedMCQA:168,MCQA:168,records:168
Clinical Medicine,Biochemistry: Metabolism Of Protein And Amino Acid,165,MedMCQA:165,MCQA:165,records:165
Clinical Medicine,Ent: Nose And Pns,164,MedMCQA:164,MCQA:164,records:164
Clinical Medicine,Anatomy: Brain,163,MedMCQA:163,MCQA:163,records:163
Clinical Medicine,"Gynaecology & Obstetrics: Medical, Surgical And Gynaecological Illness Complicating Pregnancy",163,MedMCQA:163,MCQA:163,records:163
Clinical Medicine,Surgery: Head And Neck,163,MedMCQA:163,MCQA:163,records:163
Clinical Medicine,Medicine: Immunology And Rheumatology,162,MedMCQA:162,MCQA:162,records:162
Clinical Medicine,Pathology: Cardiovascular System,161,MedMCQA:161,MCQA:161,records:161
Clinical Medicine,Physiology: Renal Physiology,161,MedMCQA:161,MCQA:161,records:161
Clinical Medicine,Surgery: Pancreas,161,MedMCQA:161,MCQA:161,records:161
Clinical Medicine,Ophthalmology: Neuro Ophthalmology,160,MedMCQA:160,MCQA:160,records:160
Clinical Medicine,Pharmacology: A.N.S.,159,MedMCQA:159,MCQA:159,records:159
Clinical Medicine,Social & Preventive Medicine: Health Programmes In India,159,MedMCQA:159,MCQA:159,records:159
Clinical Medicine,Pathology: Genetics,158,MedMCQA:158,MCQA:158,records:158
Clinical Medicine,Pediatrics: Central Nervous System,158,MedMCQA:158,MCQA:158,records:158
Clinical Medicine,Psychiatry: Mood Disorders,157,MedMCQA:157,MCQA:157,records:157
Clinical Medicine,Surgery: All India Exam,156,MedMCQA:156,MCQA:156,records:156
Clinical Medicine,Pathology: Immunity,155,MedMCQA:155,MCQA:155,records:155
Clinical Medicine,Surgery: Vascular Surgery,155,MedMCQA:155,MCQA:155,records:155
Clinical Medicine,Biochemistry: Molecular Genetics,154,MedMCQA:154,MCQA:154,records:154
Clinical Medicine,Medicine: Blood,148,MedMCQA:148,MCQA:148,records:148
Clinical Medicine,Surgery: Stomach & Duodenum,147,MedMCQA:147,MCQA:147,records:147
Clinical Medicine,"Microbiology: Systemic Bacteriology ( Gram Positive Bacilli, Gram Negative Bacilli)",146,MedMCQA:146,MCQA:146,records:146
Clinical Medicine,"Ophthalmology: Diseases Of Orbit, Lids And Lacrimal Apparatus",146,MedMCQA:146,MCQA:146,records:146
Clinical Medicine,Ophthalmology: Retina,146,MedMCQA:146,MCQA:146,records:146
Clinical Medicine,Orthopaedics: All India Exam,145,MedMCQA:145,MCQA:145,records:145
Clinical Medicine,Ent: Pharynx,144,MedMCQA:144,MCQA:144,records:144
Clinical Medicine,Pediatrics: C.V.S.,144,MedMCQA:144,MCQA:144,records:144
Clinical Medicine,Gynaecology & Obstetrics: Gynaecological Oncology,143,MedMCQA:143,MCQA:143,records:143
Clinical Medicine,Pediatrics: All India Exam,143,MedMCQA:143,MCQA:143,records:143
Clinical Medicine,Medicine: Fluid And Electrolytes,142,MedMCQA:142,MCQA:142,records:142
Clinical Medicine,Pharmacology: Anesthesia,142,MedMCQA:142,MCQA:142,records:142
Clinical Medicine,Biochemistry: Lipids,141,MedMCQA:141,MCQA:141,records:141
Clinical Medicine,Pathology: Cellular Pathology,141,MedMCQA:141,MCQA:141,records:141
Clinical Medicine,"Forensic Medicine: Law & Medicine, Identification, Autopsy & Burn",140,MedMCQA:140,MCQA:140,records:140
Clinical Medicine,Forensic Medicine: Mechanical Injuries,140,MedMCQA:140,MCQA:140,records:140
Clinical Medicine,Ophthalmology: Conjunctiva,137,MedMCQA:137,MCQA:137,records:137
Clinical Medicine,"Social & Preventive Medicine: Obstetrics, Pediatrics And Geriatrics",135,MedMCQA:135,MCQA:135,records:135
Clinical Medicine,Pathology: Breast,133,MedMCQA:133,MCQA:133,records:133
Clinical Medicine,Psychiatry: Personality Disorders,133,MedMCQA:133,MCQA:133,records:133
Clinical Medicine,Medicine: Oncology,132,MedMCQA:132,MCQA:132,records:132
Clinical Medicine,Ophthalmology: Miscellaneous,131,MedMCQA:131,MCQA:131,records:131
Clinical Medicine,Radiology: Skeletal System,131,MedMCQA:131,MCQA:131,records:131
Clinical Medicine,Pharmacology: Pharmacokinetics,127,MedMCQA:127,MCQA:127,records:127
Clinical Medicine,Anatomy: Respiratory System,126,MedMCQA:126,MCQA:126,records:126
Clinical Medicine,Pediatrics: C.V.S,123,MedMCQA:123,MCQA:123,records:123
Clinical Medicine,Social & Preventive Medicine: Health Education & Planning,122,MedMCQA:122,MCQA:122,records:122
Clinical Medicine,Radiology: All India Exam,121,MedMCQA:121,MCQA:121,records:121
Clinical Medicine,Pharmacology: Autacoids,119,MedMCQA:119,MCQA:119,records:119
Clinical Medicine,Anatomy: Neuroanatomy,118,MedMCQA:118,MCQA:118,records:118
Clinical Medicine,"Forensic Medicine: Forensic Toxicology Concepts, Statutes, Evidence, And Techniques",118,MedMCQA:118,MCQA:118,records:118
Clinical Medicine,Medicine: G.I.T.,118,MedMCQA:118,MCQA:118,records:118
Clinical Medicine,Psychiatry: All India Exam,118,MedMCQA:118,MCQA:118,records:118
Clinical Medicine,Biochemistry: Miscellaneous ( Bio Chemistry),116,MedMCQA:116,MCQA:116,records:116
Clinical Medicine,Radiology: Fundamentals In Radiology,116,MedMCQA:116,MCQA:116,records:116
Clinical Medicine,Microbiology: Misc.,115,MedMCQA:115,MCQA:115,records:115
Clinical Medicine,Social & Preventive Medicine: Miscellaneous,115,MedMCQA:115,MCQA:115,records:115
Clinical Medicine,Biochemistry: Endocrinology,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Ophthalmology: Uveal Tract,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Pathology: Respiration,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Pediatrics: Respiratory System,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Social & Preventive Medicine: Health Care Of Community & International Health,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Surgery: Oesophagus,114,MedMCQA:114,MCQA:114,records:114
Clinical Medicine,Biochemistry: Miscellaneous,113,MedMCQA:113,MCQA:113,records:113
Clinical Medicine,Physiology: General,113,MedMCQA:113,MCQA:113,records:113
Clinical Medicine,"Social & Preventive Medicine: Hospital Waste And Disaster Management, Occupational Health",113,MedMCQA:113,MCQA:113,records:113
Clinical Medicine,Ophthalmology: Vitreous And Retina,111,MedMCQA:111,MCQA:111,records:111
Clinical Medicine,Ophthalmology: Cornea And Sclera,110,MedMCQA:110,MCQA:110,records:110
Clinical Medicine,Pathology: Misc.,110,MedMCQA:110,MCQA:110,records:110
Clinical Medicine,Anatomy: Lower Extremity,108,MedMCQA:108,MCQA:108,records:108
Clinical Medicine,Forensic Medicine: Death And Postmortem Changes,108,MedMCQA:108,MCQA:108,records:108
Clinical Medicine,Orthopaedics: Miscellaneous,108,MedMCQA:108,MCQA:108,records:108
Clinical Medicine,"Pediatrics: Growth, Development, And Behavior",108,MedMCQA:108,MCQA:108,records:108
Clinical Medicine,Anaesthesia: All India Exam,107,MedMCQA:107,MCQA:107,records:107
Clinical Medicine,Anaesthesia: General Anaesthesia,107,MedMCQA:107,MCQA:107,records:107
Clinical Medicine,Gynaecology & Obstetrics: Miscellaneous ( Obs),107,MedMCQA:107,MCQA:107,records:107
Clinical Medicine,Pediatrics: Genetic And Genetic Disorders,107,MedMCQA:107,MCQA:107,records:107
Clinical Medicine,"Social & Preventive Medicine: Social Science, Mental Health & Genetics",107,MedMCQA:107,MCQA:107,records:107
Clinical Medicine,Pharmacology: Miscellaneous ( Pharmacology),105,MedMCQA:105,MCQA:105,records:105
Clinical Medicine,Gynaecology & Obstetrics: Diagnosis In Obstetrics,104,MedMCQA:104,MCQA:104,records:104
Clinical Medicine,Gynaecology & Obstetrics: Obstetrics,104,MedMCQA:104,MCQA:104,records:104
Clinical Medicine,Pathology: G.I.T.,103,MedMCQA:103,MCQA:103,records:103
Clinical Medicine,Pediatrics: Genetics And Genetic Disorders,101,MedMCQA:101,MCQA:101,records:101
Clinical Medicine,Physiology: Endocrinology And Reproduction,101,MedMCQA:101,MCQA:101,records:101
Clinical Medicine,Physiology: Kidneys And Body Fluids,101,MedMCQA:101,MCQA:101,records:101
Clinical Medicine,Surgery: Urethra & Penis,101,MedMCQA:101,MCQA:101,records:101
Clinical Medicine,Ophthalmology: Cornea,99,MedMCQA:99,MCQA:99,records:99
Clinical Medicine,Pharmacology: Kidney,99,MedMCQA:99,MCQA:99,records:99
Clinical Medicine,Psychiatry: Pharmacotherapy In Psychiatry,98,MedMCQA:98,MCQA:98,records:98
Clinical Medicine,Psychiatry: Substance Abuse,98,MedMCQA:98,MCQA:98,records:98
Clinical Medicine,Gynaecology & Obstetrics: Contraceptives,97,MedMCQA:97,MCQA:97,records:97
Clinical Medicine,Pediatrics: Endocrinology,97,MedMCQA:97,MCQA:97,records:97
Clinical Medicine,Pharmacology: Anaesthesia,97,MedMCQA:97,MCQA:97,records:97
Clinical Medicine,Surgery: Liver,95,MedMCQA:95,MCQA:95,records:95
Clinical Medicine,Anaesthesia: Intravenous Anesthetic Agents,94,MedMCQA:94,MCQA:94,records:94
Clinical Medicine,Pathology: Kidney,94,MedMCQA:94,MCQA:94,records:94
Clinical Medicine,Pharmacology: Adverse Drug Effect,94,MedMCQA:94,MCQA:94,records:94
Clinical Medicine,Physiology: G.I.T.,94,MedMCQA:94,MCQA:94,records:94
Clinical Medicine,Anatomy: Embryology,93,MedMCQA:93,MCQA:93,records:93
Clinical Medicine,Pediatrics: Childhood Tumors,93,MedMCQA:93,MCQA:93,records:93
Clinical Medicine,Social & Preventive Medicine: Screening,92,MedMCQA:92,MCQA:92,records:92
Clinical Medicine,Anatomy: Treatment In Psychiatry,91,MedMCQA:91,MCQA:91,records:91
Clinical Medicine,Anatomy: Urology,91,MedMCQA:91,MCQA:91,records:91
Clinical Medicine,"Ophthalmology: Anatomy, Development And Clinical Examination",91,MedMCQA:91,MCQA:91,records:91
Clinical Medicine,Surgery: Thyroid Gland,91,MedMCQA:91,MCQA:91,records:91
Clinical Medicine,Anaesthesia: Miscellaneous,90,MedMCQA:90,MCQA:90,records:90
Clinical Medicine,Gynaecology & Obstetrics: Medical & Surgical Illness Complication Pregnancy,90,MedMCQA:90,MCQA:90,records:90
Clinical Medicine,Pharmacology: Respiratory System,90,MedMCQA:90,MCQA:90,records:90
Clinical Medicine,Anatomy: Haematology,89,MedMCQA:89,MCQA:89,records:89
Clinical Medicine,"Psychiatry: Neurotic, Stress Related And Somatoform Disorders",89,MedMCQA:89,MCQA:89,records:89
Clinical Medicine,Medicine: Nutrition,88,MedMCQA:88,MCQA:88,records:88
Clinical Medicine,Pathology: Endocrinology,88,MedMCQA:88,MCQA:88,records:88
Clinical Medicine,Forensic Medicine: Injuries,87,MedMCQA:87,MCQA:87,records:87
Clinical Medicine,Pathology: Respiratory System,87,MedMCQA:87,MCQA:87,records:87
Clinical Medicine,Radiology: Miscellaneous,87,MedMCQA:87,MCQA:87,records:87
Clinical Medicine,Anatomy: General Obstetrics,86,MedMCQA:86,MCQA:86,records:86
Clinical Medicine,Gynaecology & Obstetrics: Contraception,86,MedMCQA:86,MCQA:86,records:86
Clinical Medicine,Pathology: Neoplasia,86,MedMCQA:86,MCQA:86,records:86
